# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 如果有多个本地源文件，可以在config目录下创建local目录进行存放，支持txt/m3u文件格式
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface
# If there are multiple local source files, you can create a local directory under the config directory for storage, supporting txt/m3u file formats
# 🧧春晚频道,#genre#
英雄泪,https://vd3.bdstatic.com/mda-ncnp6tm56ngrxbis/360p/h264_delogo/1648055585617071282/mda-ncnp6tm56ngrxbis.mp4
周杰伦-告白气球,http://em.21dtv.com/songs/60146129.mkv
周杰伦-告白气球,http://em.21dtv.com/songs/60128900.mkv
周杰伦-Now You See Me,http://em.21dtv.com/songs/60123755.mkv
周杰伦-土耳其冰淇淋,http://em.21dtv.com/songs/60127852.mkv
周杰伦-米兰的小铁匠,http://em.21dtv.com/songs/60029951.mkv
周杰伦-最后的战役,http://em.21dtv.com/songs/60060222.mkv
周杰伦-爷爷泡的茶,http://em.21dtv.com/songs/60052419.mkv
周杰伦-手写的从前,http://em.21dtv.com/songs/60108396.mkv
周杰伦-火车叼位去,http://em.21dtv.com/songs/60022412.mkv
周杰伦-反方向的钟,http://em.21dtv.com/songs/60016491.mkv
周杰伦-爸我回来了,http://em.21dtv.com/songs/60009639.mkv
周杰伦-爱在西元前,http://em.21dtv.com/songs/60009204.mkv
周杰伦-止战之殇,http://em.21dtv.com/songs/60058758.mkv
周杰伦-一路向北,http://em.21dtv.com/songs/60053294.mkv
周杰伦-烟花易冷,http://em.21dtv.com/songs/60051963.mkv
周杰伦-以父之名,http://em.21dtv.com/songs/60054081.mkv
周杰伦-威廉古堡,http://em.21dtv.com/songs/60043747.mkv
周杰伦-三年二班,http://em.21dtv.com/songs/60037270.mkv
周杰伦-牛仔很忙,http://em.21dtv.com/songs/60032737.mkv
周杰伦-开不了口,http://em.21dtv.com/songs/60024976.mkv
周杰伦-可爱女人,http://em.21dtv.com/songs/60025267.mkv
周杰伦-黑色幽默,http://em.21dtv.com/songs/60020561.mkv
周杰伦-青花瓷,http://em.21dtv.com/songs/60034743.mkv
